Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre,Vote_Group,Release_Year
14-04-2012,Detective Conan: The Eleventh Striker,15.048,84,6.9,"['Mystery', 'Action', 'Animation']",Medium,2012
12-06-1997,Another 9 1/2 Weeks,15.048,66,4.7,"['Drama', 'Romance']",Low,1997
14-05-2015,Tale of Tales,15.046,1383,6.3,"['Romance', 'Fantasy', 'Horror']",Medium,2015
01-06-2018,Action Point,15.043,270,5.4,"['Comedy', 'Drama']",Medium,2018
07-11-2014,A Merry Friggin' Christmas,15.041,176,5.2,['Comedy'],Medium,2014
21-11-2019,The Blackout,15.038,299,6.4,"['Thriller', 'ScienceFiction', 'Action']",Medium,2019
01-02-2008,War of the Worlds 2: The Next Wave,15.038,45,4,"['Action', 'ScienceFiction', 'Adventure']",Low,2008
15-09-1994,Timecop,15.038,868,6,"['Thriller', 'ScienceFiction', 'Action', 'Crime']",Medium,1994
27-10-1976,The Wing or the Thigh?,15.037,657,7.2,['Comedy'],High,1976
14-03-2017,Picture of Beauty,15.033,25,4.2,"['Drama', 'Romance']",Low,2017
20-02-2008,Welcome to the Sticks,15.032,2050,6.7,"['Comedy', 'Drama', 'Romance']",Medium,2008
28-08-2019,An Easy Girl,15.03,266,5.6,"['Comedy', 'Drama']",Medium,2019
17-08-2017,Madame,15.03,233,6,"['Drama', 'Comedy']",Medium,2017
01-10-1999,"Mystery, Alaska",15.03,186,6.2,"['Drama', 'Comedy']",Medium,1999
20-12-1989,Born on the Fourth of July,15.029,1295,7,"['Drama', 'War']",Medium,1989
29-03-1985,Desperately Seeking Susan,15.028,326,6.1,"['Comedy', 'Drama']",Medium,1985
15-01-2004,Once Upon a Time in High School,15.023,55,7.2,"['Romance', 'Drama', 'Action']",High,2004
17-12-1982,The Dark Crystal,15.02,850,7.2,"['Fantasy', 'Adventure', 'Family', 'Animation']",High,1982
30-10-2004,Be with You,15.019,63,7.6,"['Drama', 'Fantasy', 'Romance']",High,2004
08-03-1985,Mask,15.019,309,7.1,['Drama'],High,1985
19-04-1987,Wicked City,15.018,125,6.7,"['Animation', 'Action', 'Fantasy', 'Horror']",Medium,1987
25-03-1983,Bad Boys,15.018,190,7,"['Crime', 'Drama', 'Thriller']",Medium,1983
17-12-1980,The Party,15.017,912,6.5,"['Drama', 'Romance', 'Comedy']",Medium,1980
01-01-2013,The Best Offer,15.015,2381,7.9,"['Drama', 'Romance', 'Crime']",High,2013
10-09-2019,Curious George: Royal Monkey,15.013,78,7.5,"['Animation', 'Adventure', 'Comedy', 'Family']",High,2019
23-07-2004,Thunderbirds,15.01,235,4.9,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'ScienceFiction']",Low,2004
21-12-1972,Cries and Whispers,15.01,510,8,['Drama'],High,1972
14-12-2017,Christmas Wedding Planner,15.008,365,5.5,"['Romance', 'Family', 'TVMovie']",Medium,2017
07-10-1987,Au Revoir les Enfants,15.008,488,7.5,"['Drama', 'War']",High,1987
30-05-2017,Cinderella's Hot Night,15.007,61,5.8,"['Fantasy', 'Comedy']",Medium,2017
21-04-2009,Into the Blue 2: The Reef,15.007,111,5.3,['Action'],Medium,2009
04-10-2007,Love in the Time of Cholera,15.006,290,6.6,"['Drama', 'Romance']",Medium,2007
09-04-1986,Betty Blue,15.004,285,7.3,"['Drama', 'Romance']",High,1986
05-12-2014,Still Alice,15.002,2605,7.5,['Drama'],High,2014
15-06-2012,Foodfight!,15.002,95,1.8,"['Animation', 'Action', 'Comedy', 'Family']",Low,2012
05-10-2015,Blunt Force Trauma,15.001,68,5.1,['Action'],Medium,2015
27-07-1996,Kids Return,15.001,111,7.2,"['Drama', 'Crime']",High,1996
26-04-1985,Just One of the Guys,15,219,6.4,"['Comedy', 'Romance']",Medium,1985
11-03-2016,Beware the Slenderman,14.999,185,6.4,"['Crime', 'Documentary']",Medium,2016
